STATE,DISTRICT,YEAR,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
ASSAM,DARRANG,2001,48,47,9,56,0,37,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,47,42_District_wise_crimes_committed_against_women_2001_2012.csv::47,False,UNIQUE,DARRANG,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,48,42_District_wise_crimes_committed_against_women_2001_2012.csv::48,False,UNIQUE,DHEMAJI,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,DHUBRI,2001,43,51,5,49,0,111,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,49,42_District_wise_crimes_committed_against_women_2001_2012.csv::49,False,UNIQUE,DHUBRI,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,50,42_District_wise_crimes_committed_against_women_2001_2012.csv::50,False,UNIQUE,DIBRUGARH,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,G.R.P.,2001,1,0,0,0,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,51,42_District_wise_crimes_committed_against_women_2001_2012.csv::51,False,UNIQUE,G.R.P.,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,GOALPARA,2001,35,35,1,54,0,64,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,52,42_District_wise_crimes_committed_against_women_2001_2012.csv::52,False,UNIQUE,GOALPARA,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,53,42_District_wise_crimes_committed_against_women_2001_2012.csv::53,False,UNIQUE,GOLAGHAT,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,54,42_District_wise_crimes_committed_against_women_2001_2012.csv::54,False,UNIQUE,GUWAHATI CITY,SPECIAL_UNIT,VALID
ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,55,42_District_wise_crimes_committed_against_women_2001_2012.csv::55,False,UNIQUE,HAILAKANDI,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,JORHAT,2001,42,28,2,44,0,48,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,56,42_District_wise_crimes_committed_against_women_2001_2012.csv::56,False,UNIQUE,JORHAT,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,KAMRUP,2001,21,65,2,42,0,27,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,57,42_District_wise_crimes_committed_against_women_2001_2012.csv::57,False,UNIQUE,KAMRUP,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,58,42_District_wise_crimes_committed_against_women_2001_2012.csv::58,False,UNIQUE,KARBI ANGLONG,DISTRICT_OR_REPORTING_UNIT,VALID
