STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,55,03_District_wise_crimes_committed_against_children_2013.csv::55,False,UNIQUE,BIEO,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,BONGAIGAON,2013,0,0,3,0,0,0,0,0,0,0,0,0,3,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,56,03_District_wise_crimes_committed_against_children_2013.csv::56,False,UNIQUE,BONGAIGAON,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,C.I.D.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,57,03_District_wise_crimes_committed_against_children_2013.csv::57,False,UNIQUE,C.I.D.,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,CACHAR,2013,0,0,3,5,0,0,0,0,0,0,0,0,8,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,58,03_District_wise_crimes_committed_against_children_2013.csv::58,False,UNIQUE,CACHAR,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,CHIRANG,2013,0,1,10,10,0,0,0,0,0,0,0,0,21,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,59,03_District_wise_crimes_committed_against_children_2013.csv::59,False,UNIQUE,CHIRANG,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,DARRANG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,60,03_District_wise_crimes_committed_against_children_2013.csv::60,False,UNIQUE,DARRANG,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,DHEMAJI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,61,03_District_wise_crimes_committed_against_children_2013.csv::61,False,UNIQUE,DHEMAJI,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,DHUBRI,2013,0,1,138,7,0,0,0,127,0,0,1,7,281,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,62,03_District_wise_crimes_committed_against_children_2013.csv::62,False,UNIQUE,DHUBRI,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,DIBRUGARH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,63,03_District_wise_crimes_committed_against_children_2013.csv::63,False,UNIQUE,DIBRUGARH,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,64,03_District_wise_crimes_committed_against_children_2013.csv::64,False,UNIQUE,G.R.P.,DISTRICT_OR_REPORTING_UNIT,VALID
