feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,0.0,0.0,0.0,0.0,86,11.8
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,0.0,0.0,0.0,0.0,86,11.81
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,0.0,36.0,36.0,90.0,84,11.52
IPC_RIOTS_COMMUNAL,0.0,0.0,0.0,0.0,83,11.39
WOMEN_HURT,0.0,9.0,9.0,22.5,82,11.26
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,0.0,2.0,2.0,5.0,82,11.25
WOMEN_GRIEVOUS_HURT,0.0,9.25,9.25,23.125,81,11.13
IPC_RIOTS_AGRARIAN,0.0,0.0,0.0,0.0,81,11.11
ST_POA_GRIEVOUS_HURT,0.0,0.0,0.0,0.0,80,10.99
ST_DACOITY,0.0,0.0,0.0,0.0,80,0.9
ST_POA_HURT,0.0,0.0,0.0,0.0,79,10.85
IPC_GRIEVOUS_HURT,12.0,125.0,113.0,294.5,76,10.43
IPC_HURT,12.0,124.0,112.0,292.0,76,10.43
IPC_EXTORTION,0.0,11.0,11.0,27.5,76,10.43
IPC_OTHER_KIDNAPPING,0.0,28.0,28.0,70.0,75,10.29
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,0.0,0.0,0.0,0.0,74,0.84
SC_IPC_OTHER_IPC_CRIMES,0.0,0.0,0.0,0.0,74,10.16
ST_POA_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,71,9.75
IPC_KIDNAPPING_FOR_RANSOM,0.0,1.0,1.0,2.5,71,9.74
IPC_SEXUAL_HARASSMENT,0.0,32.0,32.0,80.0,70,9.6
WOMEN_SEXUAL_HARASSMENT,0.0,32.0,32.0,80.0,70,9.62
IPC_RIOTS_OTHERS,3.0,90.0,87.0,220.5,70,9.6
WOMEN_ATTEMPT_TO_COMMIT_MURDER,0.0,6.0,6.0,15.0,68,9.34
IPC_INCIDENCE_OF_RASH_DRIVING,34.0,465.0,431.0,1111.5,66,9.05
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,0.0,1.0,1.0,2.5,66,9.05
IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.0,53.0,53.0,132.5,65,8.92
IPC_VOYEURISM,0.0,1.0,1.0,2.5,64,8.78
WOMEN_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.0,53.25,53.25,133.125,64,8.79
WOMEN_VOYEURISM,0.0,1.0,1.0,2.5,64,8.79
SC_POA_OTHER_KIDNAPPING,0.0,0.0,0.0,0.0,64,8.79
IPC_OTHER_THEFTS,50.0,270.0,220.0,600.0,63,8.64
WOMEN_UNNATURAL_OFFENCES,0.0,0.0,0.0,0.0,62,8.52
SC_POA_KIDNAPING_ABDUCTION_TOTAL,0.0,0.0,0.0,0.0,60,8.24
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.0,0.0,0.0,0.0,59,8.1
SC_TOTAL_CRIMES_AGAINST_SCS,1.0,78.25,77.25,194.125,58,7.97
ST_TOTAL_IPC_CRIMES_AGAINST_STS,0.0,0.0,0.0,0.0,58,7.97
IPC_DACOITY_WITH_MURDER,0.0,0.0,0.0,0.0,56,7.68
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,0.0,0.0,0.0,0.0,56,7.68
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,0.0,0.0,0.0,0.0,56,7.68
ST_POA_RIOTS,0.0,0.0,0.0,0.0,54,7.42
IPC_CUSTODIAL_RAPE,0.0,0.0,0.0,0.0,54,0.56
IPC_COUNTERFEITING,0.0,2.0,2.0,5.0,53,7.27
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,1.0,72.0,71.0,178.5,52,7.14
IPC_RIOTS_OTHER_CASTE_CONFLICT,0.0,0.0,0.0,0.0,51,7.0
IPC_ATTEMPT_TO_COMMIT_MURDER,11.0,63.0,52.0,141.0,51,7.0
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,0.0,2.0,2.0,5.0,51,7.0
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,149.0,731.0,582.0,1604.0,50,6.87
CHILDREN_OTHER_MURDER,0.0,3.0,3.0,7.5,49,6.67
IPC_OTHER_DACOITY,0.0,7.0,7.0,17.5,49,6.72
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,0.0,0.0,0.0,0.0,49,6.73
IPC_KIDNAPPING_ABDUCTION_TOTAL,21.0,130.0,109.0,293.5,48,6.58
CHILDREN_INFANTICID,0.0,0.0,0.0,0.0,47,6.39
SC_POA_STALKING,0.0,0.0,0.0,0.0,47,6.46
SC_POA_RAPE,0.0,4.0,4.0,10.0,47,6.46
ST_POA_ATTEMPT_TO_COMMIT_MURDER,0.0,0.0,0.0,0.0,46,6.32
