Column,Missing_Cells,Missing_Percentage
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__RAPE,456,92.87169042769857
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__KIDNAPPING_AND_ABDUCTION,456,92.87169042769857
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__DOWRY_DEATHS,456,92.87169042769857
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,456,92.87169042769857
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__INSULT_TO_MODESTY_OF_WOMEN,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RIVER_AND_SEA_DACOITY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RIVER_AND_SEA_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RIVER_AND_SEA_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__COMMERCIAL_ESTABLISHMENTS_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__TOTAL_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__TOTAL_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__TOTAL_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__TOTAL_DACOITY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__OTHER_PLACES_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__OTHER_PLACES_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__OTHER_PLACES_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__OTHER_PLACES_DACOITY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__COMMERCIAL_ESTABLISHMENTS_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__COMMERCIAL_ESTABLISHMENTS_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RIVER_AND_SEA_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__COMMERCIAL_ESTABLISHMENTS_DACOITY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__BANKS_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__BANKS_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__BANKS_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__BANKS_DACOITY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RAILWAYS_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RAILWAYS_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RAILWAYS_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RAILWAYS_DACOITY,456,92.87169042769857
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,456,92.87169042769857
42_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_WOMEN_2013__IMPORTATION_OF_GIRLS,456,92.87169042769857
07_02_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_SLL_2013__GRAND_TOTAL,456,92.87169042769857
