column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,9856,92.61,728,7
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,float64,9128,9856,92.61,728,49
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,float64,9128,9856,92.61,728,6
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,float64,9128,9856,92.61,728,1
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,float64,9128,9856,92.61,728,15
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,float64,9128,9856,92.61,728,29
WOMEN_ITP_UNDER_SECTION_5,float64,9128,9856,92.61,728,17
WOMEN_ITP_UNDER_SECTION_6,float64,9128,9856,92.61,728,7
WOMEN_ITP_UNDER_SECTION_7,float64,9128,9856,92.61,728,9
WOMEN_ITP_UNDER_SECTION_8,float64,9128,9856,92.61,728,8
WOMEN_ITP_UNDER_OTHER_SECTIONS,float64,9128,9856,92.61,728,22
WOMEN_OTHER_SLL_CRIMES_AGAINST_WOMEN,float64,9128,9856,92.61,728,90
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,float64,9128,9856,92.61,728,516
WOMEN_CUSTODIAL_RAPE,float64,9128,9856,92.61,728,15
WOMEN_CUSTODIAL_GANG_RAPE,float64,9128,9856,92.61,728,3
WOMEN_CUSTODIAL_OTHER_RAPE,float64,9128,9856,92.61,728,14
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,float64,9128,9856,92.61,728,158
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,float64,9128,9856,92.61,728,16
WOMEN_GRIEVOUS_HURT,float64,9128,9856,92.61,728,75
WOMEN_HURT,float64,9128,9856,92.61,728,73
WOMEN_ACID_ATTACK,float64,9128,9856,92.61,728,6
WOMEN_ATTEMPT_TO_ACID_ATTACK,float64,9128,9856,92.61,728,3
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,float64,9128,9856,92.61,728,2
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,float64,9128,9856,92.61,728,8
WOMEN_DACOITY_TOTAL,float64,9128,9856,92.61,728,12
WOMEN_DACOITY_WITH_MURDER,float64,9128,9856,92.61,728,2
WOMEN_OTHER_DACOITY,float64,9128,9856,92.61,728,12
WOMEN_ROBBERY,float64,9128,9856,92.61,728,71
WOMEN_ARSON,float64,9128,9856,92.61,728,11
WOMEN_HUMANTRAFFICKING,float64,9128,9856,92.61,728,17
IPC_KIDNAPPING_ABDUCTION_TOTAL,float64,9127,9856,92.6,729,256
IPC_ATTEMPT_TO_COMMIT_RAPE,float64,9127,9856,92.6,729,54
IPC_RAPE_OTHERS,float64,9127,9856,92.6,729,156
IPC_OTHER_OFFENCES_AGAINST_STATE,float64,9127,9856,92.6,729,12
IPC_SEDITION,float64,9127,9856,92.6,729,6
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,float64,9127,9856,92.6,729,14
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,float64,9127,9856,92.6,729,14
IPC_ATTEMPT_TO_ACID_ATTACK,float64,9127,9856,92.6,729,4
