column,missing_count,missing_pct,non_missing_count
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,9127,92.6,729
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,9127,92.6,729
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,9127,92.6,729
IPC_RIOTS_INDUSTRIAL,9127,92.6,729
IPC_DACOITY_WITH_MURDER,9127,92.6,729
IPC_UNLAWFUL_ASSEMBLY,9127,92.6,729
IPC_OTHER_THEFTS,9127,92.6,729
IPC_ATTEMPT_TO_COMMIT_MURDER,9127,92.6,729
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,9127,92.6,729
IPC_CUSTODIAL_GANG_RAPE,9127,92.6,729
IPC_CUSTODIAL_OTHER_RAPE,9127,92.6,729
IPC_RAPE_OTHER_THAN_CUSTODIAL,9127,92.6,729
IPC_RAPE_GANG_RAPE,9127,92.6,729
IPC_RAPE_OTHERS,9127,92.6,729
IPC_ATTEMPT_TO_COMMIT_RAPE,9127,92.6,729
IPC_KIDNAPPING_ABDUCTION_TOTAL,9127,92.6,729
IPC_KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,9127,92.6,729
IPC_KIDNAPPING_FOR_RANSOM,9127,92.6,729
IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,9127,92.6,729
IPC_OTHER_KIDNAPPING,9127,92.6,729
IPC_ATTEMPT_TO_ACID_ATTACK,9127,92.6,729
IPC_OTHER_DACOITY,9127,92.6,729
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,9127,92.6,729
IPC_CRIMINAL_TRESPASS_BURGLARY,9127,92.6,729
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,9127,92.6,729
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,9127,92.6,729
IPC_ACID_ATTACK,9127,92.6,729
