column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
SC_POA_OTHER_DACOITY,SC,DACOITY_ROBBERY,False,float64,9128,92.61,3
SC_POA_ROBBERY,SC,DACOITY_ROBBERY,False,float64,9128,92.61,5
SC_POA_ARSON,SC,ARSON,False,float64,9128,92.61,9
SC_POA_GRIEVOUS_HURT,SC,HURT_ASSAULT,False,float64,9128,92.61,36
SC_POA_HURT,SC,HURT_ASSAULT,False,float64,9128,92.61,36
SC_POA_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,2
SC_POA_ATTEMPT_TO_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,2
SC_POA_RIOTS,SC,RIOTS_PUBLIC_ORDER,False,float64,9128,92.61,23
SC_POA_OTHER_IPC_CRIMES,SC,OTHER_CRIME,True,float64,9128,92.61,133
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,SC,OTHER_CRIME,False,float64,9128,92.61,84
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,SC,OTHER_CRIME,True,float64,9128,92.61,185
SC_IPC_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,9
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,7
SC_IPC_RAPE,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,11
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,5
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,19
SC_IPC_SEXUAL_HARASSMENT,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,7
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,OTHER_CRIME,False,float64,9128,92.61,7
SC_IPC_VOYEURISM,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,2
SC_IPC_STALKING,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,5
SC_IPC_OTHER_SEXUAL_HARASSMENT,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,14
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,SC,OTHER_CRIME,False,float64,9128,92.61,7
SC_IPC_KIDNAPPING_ABDUCTION,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,10
SC_IPC_KIDNAPING_ABDUCTION,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,6
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,1
SC_IPC_KIDNAPPING_FOR_RANSOM,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,2
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,7
SC_IPC_OTHER_KIDNAPPING,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,6
SC_IPC_DACOITY,SC,DACOITY_ROBBERY,False,float64,9128,92.61,3
SC_IPC_DACOITY_WITH_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,1
