File,State_Column,Raw_State_Label
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Manipur
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Meghalaya
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Mizoram
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Nagaland
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Odisha
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Punjab
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Rajasthan
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Sikkim
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Tamil Nadu
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Telangana
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Tripura
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Uttar Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Uttarakhand
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,West Bengal
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,A & N Islands
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Chandigarh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,D&N Haveli
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Daman & Diu
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Delhi UT
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Lakshadweep
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Puducherry
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Total (States)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Total (UTs)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Total (All India)
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,ANDHRA PRADESH
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,ARUNACHAL PRADESH
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,ASSAM
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,BIHAR
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,CHHATTISGARH
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,GOA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,GUJARAT
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,HARYANA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,HIMACHAL PRADESH
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,JAMMU & KASHMIR
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,JHARKHAND
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,KARNATAKA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,KERALA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,MADHYA PRADESH
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,MAHARASHTRA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,MANIPUR
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,MEGHALAYA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,MIZORAM
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,NAGALAND
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,ODISHA
04_01_Person_arrested_and_their_disposal_by_police_and_court_SLL_crime_2012.csv,STATE/UT,PUNJAB
