feature,observed_sum,mean,median,non_missing,missing_pct
IPC_RIOTS_STUDENTS,199.0,0.2729766803840878,0.0,729,92.60349025974025
IPC_ACID_ATTACK,194.0,0.2661179698216735,0.0,729,92.60349025974025
IPC_CUSTODIAL_OTHER_RAPE,192.0,0.26337448559670784,0.0,729,92.60349025974025
WOMEN_CUSTODIAL_OTHER_RAPE,192.0,0.26373626373626374,0.0,728,92.61363636363636
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,182.0,0.25,0.0,728,92.61363636363636
IPC_RIOTS_INDUSTRIAL,175.0,0.24005486968449932,0.0,729,92.60349025974025
SC_POA_ARSON,172.0,0.23626373626373626,0.0,728,92.61363636363636
IPC_OFFENCES_AGAINST_STATE,168.0,0.23045267489711935,0.0,729,92.60349025974025
SC_POA_KIDNAPING_ABDUCTION_TOTAL,165.0,0.22664835164835165,0.0,728,92.61363636363636
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,162.0,0.22252747252747251,0.0,728,92.61363636363636
SC_OTHER_SLL_CRIME_AGAINST_SCS,155.0,0.2129120879120879,0.0,728,92.61363636363636
SC_POA_OTHER_KIDNAPPING,148.0,0.2032967032967033,0.0,728,92.61363636363636
ST_POA_MURDER,144.0,0.1978021978021978,0.0,728,92.61363636363636
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,136.0,0.18681318681318682,0.0,728,92.61363636363636
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,135.0,0.18518518518518517,0.0,729,92.60349025974025
WOMEN_ACID_ATTACK,131.0,0.17994505494505494,0.0,728,92.61363636363636
SC_IPC_RAPE,130.0,0.17857142857142858,0.0,728,92.61363636363636
IPC_OTHER_OFFENCES_AGAINST_STATE,122.0,0.1673525377229081,0.0,729,92.60349025974025
SC_IPC_KIDNAPPING_ABDUCTION,117.0,0.16071428571428573,0.0,728,92.61363636363636
SC_IPC_GRIEVOUS_HURT,104.0,0.14285714285714285,0.0,728,92.61363636363636
SC_IPC_HURT,104.0,0.14285714285714285,0.0,728,92.61363636363636
