,count,mean,std,min,1%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,729.0,151.69272976680384,156.58109391556945,0.0,0.0,27.0,114.0,221.0,462.4000000000001,734.8800000000001,1083.0,9127,92.6
IPC_DEATHS_DUE_TO_OTHER_CAUSES,729.0,7.8079561042524,27.681099838369985,0.0,0.0,0.0,0.0,5.0,36.60000000000002,121.0,355.0,9127,92.6
IPC_OFFENCES_AGAINST_STATE,729.0,0.23045267489711935,1.5474562388925501,0.0,0.0,0.0,0.0,0.0,1.0,6.440000000000055,18.0,9127,92.6
IPC_SEDITION,729.0,0.06310013717421124,0.8825984003992666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,9127,92.6
IPC_OTHER_OFFENCES_AGAINST_STATE,729.0,0.1673525377229081,1.2445391653390898,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,9127,92.6
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,729.0,0.345679012345679,1.3377901702742998,0.0,0.0,0.0,0.0,0.0,2.0,6.720000000000027,14.0,9127,92.6
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,729.0,0.3292181069958848,1.321310774393681,0.0,0.0,0.0,0.0,0.0,2.0,6.720000000000027,14.0,9127,92.6
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,729.0,0.01646090534979424,0.2090088762502134,0.0,0.0,0.0,0.0,0.0,0.0,0.7200000000000273,5.0,9127,92.6
IPC_EXTORTION,729.0,10.190672153635116,22.585141004440196,0.0,0.0,0.0,2.0,11.0,44.60000000000002,101.44000000000005,247.0,9127,92.6
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,729.0,0.18518518518518517,4.85221145911388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,9127,92.6
IPC_INCIDENCE_OF_RASH_DRIVING,729.0,464.0411522633745,1104.6517953470702,0.0,0.0,34.0,177.0,465.0,1550.000000000001,4836.080000000018,13431.0,9127,92.6
IPC_HUMANTRAFFICKING,729.0,0.9492455418381345,4.940458959672553,0.0,0.0,0.0,0.0,0.0,4.0,17.440000000000055,84.0,9127,92.6
IPC_UNNATURAL_OFFENCE,729.0,1.4732510288065843,3.505045106986195,0.0,0.0,0.0,0.0,1.0,7.0,18.720000000000027,39.0,9127,92.6
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,729.0,3484.4499314128943,3924.059403013995,0.0,4.0,901.0,2469.0,4604.0,10082.0,18598.880000000005,40361.0,9127,92.6
SC_MURDER,8853.0,0.9296283745622953,1.986771618424425,0.0,0.0,0.0,0.0,1.0,5.0,10.0,24.0,1003,10.18
SC_RAPE,8853.0,1.9291765503219247,3.4117992825557297,0.0,0.0,0.0,0.0,3.0,9.0,16.0,38.0,1003,10.18
SC_KIDNAPPING_AND_ABDUCTION,8853.0,0.5830791821981249,1.643571370016708,0.0,0.0,0.0,0.0,0.0,3.0,8.0,23.0,1003,10.18
SC_DACOITY,8853.0,0.04461764373658647,0.30349970105570145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1003,10.18
SC_ROBBERY,8853.0,0.10843781768891901,0.5597894041728974,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,1003,10.18
SC_ARSON,8853.0,0.3153733197786061,1.0323220664990214,0.0,0.0,0.0,0.0,0.0,2.0,5.0,28.0,1003,10.18
SC_HURT,8853.0,5.661470687902406,14.244922148256936,0.0,0.0,0.0,0.0,5.0,28.0,67.0,273.0,1003,10.18
SC_PREVENTION_OF_ATROCITIES_POA_ACT,8853.0,14.672992206031854,31.6601579654786,0.0,0.0,0.0,1.0,14.0,73.0,155.47999999999956,428.0,1003,10.18
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,8853.0,0.4547610979329041,3.906399384053277,0.0,0.0,0.0,0.0,0.0,1.0,12.479999999999563,153.0,1003,10.18
SC_OTHER_CRIMES_AGAINST_SCS,8853.0,18.975714447080087,43.42394936569015,0.0,0.0,0.0,2.0,18.0,97.0,206.0,819.0,1003,10.18
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,728.0,0.12912087912087913,1.3746889793858441,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,9128,92.61
SC_POA_MURDER,728.0,0.9244505494505495,1.8509987564692925,0.0,0.0,0.0,0.0,1.0,4.0,9.0,13.0,9128,92.61
SC_POA_ATTEMPT_TO_COMMIT_MURDER,728.0,0.5398351648351648,1.5773695217926276,0.0,0.0,0.0,0.0,0.0,3.6499999999999773,8.0,16.0,9128,92.61
SC_POA_RAPE,728.0,2.8585164835164836,4.5851904416553815,0.0,0.0,0.0,1.0,4.0,11.0,20.0,38.0,9128,92.61
SC_POA_ATTEMPT_TO_COMMIT_RAPE,728.0,0.11126373626373626,0.6571871590227327,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,9128,92.61
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,728.0,3.0398351648351647,6.80317152152832,0.0,0.0,0.0,0.0,3.0,17.649999999999977,32.73000000000002,65.0,9128,92.61
SC_POA_SEXUAL_HARASSMENT,728.0,1.0865384615384615,3.787612487953832,0.0,0.0,0.0,0.0,0.0,7.0,16.730000000000018,52.0,9128,92.61
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,728.0,0.18681318681318682,0.8413271485159595,0.0,0.0,0.0,0.0,0.0,1.0,4.730000000000018,9.0,9128,92.61
