UNIT_NAME,row_count
BHIM NAGAR,2
PANCHSHIL NAGAR,2
PRABUDDH NAGAR,2
BAKSA,2
BIEO,2
SURGUJA,2
BALODA BAZAR,2
BEMETARA,2
SUKMA,2
MUNGELI,2
KONDAGAON,2
BALOD,2
JODHPUR EAST,2
I&P HARYANA,1
Tarn Taran,1
Patiala,1
Ropar,1
Sangrur,1
SAS Nagar,1
SBS Nagar,1
Alwar,1
Ajmer,1
Muktsar,1
Banswara,1
Baran,1
Barmer,1
Bharatpur,1
Bhilwara,1
Bikaner,1
Bundi,1
Chittorgarh,1
Pathankot,1
Mansa,1
Moga,1
Dausa,1
Sambalpur,1
Sonepur,1
SRP (Cuttack),1
SRP (Rourkela),1
Sundargarh,1
Barnala,1
Batala,1
Bathinda,1
CP Amritsar,1
CP Jalandhar,1
CP Ludhiana,1
Faridkot,1
Fatehgarh Sahib,1
Fazilka,1
Ferozepur,1
Gurdaspur,1
Hoshiarpur,1
Kapurthala,1
Khanna,1
Churu,1
Dungarpur,1
Dholpur,1
Rayagada,1
Tonk,1
Udaipur,1
G.R.P. AJMER,1
CRIME KASHMIR,1
A and N ISLANDS,1
Ariyalur,1
Chennai,1
Coimbatore,1
Cuddalore,1
Dharmapuri,1
Dindigul,1
Erode,1
Kanchipuram,1
Kanyakumari,1
Karur,1
Krishnagiri,1
Madurai,1
Nagapattinam,1
Namakkal,1
Sirohi,1
Sikar,1
Sawai Madhopur,1
Jaisalmer,1
G.R.P.Ajmer,1
G.R.P.Jodhpur,1
Ganganagar,1
Hanumangarh,1
Jaipur East,1
Jaipur North,1
Jaipur South,1
Jaipur West,1
Jalore,1
Rajsamand,1
Jhalawar,1
Jhunjhunu,1
Jodhpur East,1
Jodhpur West,1
Karauli,1
Nagaur,1
Pali,1
Praapgarh,1
Rourkela,1
Nuapada,1
Puri,1
Ukhrul,1
Yavatmal,1
Bishnupur,1
Chandel,1
Churachandpur,1
Imphal East,1
Imphal West,1
Senapati,1
Tamenglong,1
Thoubal,1
Garo Hills East,1
Perambalur,1
Garo Hills North,1
Garo Hills South,1
Garo Hills South West,1
Garo Hills West,1
Jaintia Hills West,1
Jaintia Hills East,1
Khasi Hills East,1
Khasi Hills South West,1
Khasi Hills West,1
Washim,1
Wardha,1
Thane Commr.,1
Solapur Commr.,1
Jalgaon,1
Jalna,1
Kolhapur,1
Latur,1
Mumbai Commr.,1
Nagpur Commr.,1
Nanded,1
Nandurbar,1
Nasik Commr.,1
Navi Mumbai,1
Osmanabad,1
Palghar,1
Parbhani,1
Pune Commr.,1
Raigad,1
Ratnagiri,1
Sangli,1
Satara,1
Sindhudurg,1
Ri-Bhoi,1
Aizawl,1
Champhai,1
Bhadrak,1
Boudh,1
Cuttack,1
Deogarh,1
Dhenkanal,1
Gajapati,1
Ganjam,1
Jagatsinghpur,1
Jajpur,1
Jharsuguda,1
Kalahandi,1
Kandhamal,1
Kendrapara,1
Keonjhar,1
Khurda,1
Koraput,1
Malkangiri,1
Mayurbhanj,1
Nayagarh,1
Nabarangpur,1
Bolangir,1
Berhampur,1
Kolasib,1
Baragarh,1
Lawngtlai,1
Lunglei,1
Mamit,1
Saiha,1
Serchhip,1
Spl Traffic,1
Dimapur,1
Kiphire,1
