column_name,data_type,missing_count,missing_pct,unique_values
SC_IPC_OTHER_SEXUAL_HARASSMENT,float64,9128,92.61,14
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,92.61,7
SC_IPC_KIDNAPPING_ABDUCTION,float64,9128,92.61,10
SC_IPC_KIDNAPING_ABDUCTION,float64,9128,92.61,6
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,92.61,1
SC_IPC_KIDNAPPING_FOR_RANSOM,float64,9128,92.61,2
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,92.61,7
SC_IPC_OTHER_KIDNAPPING,float64,9128,92.61,6
SC_IPC_DACOITY,float64,9128,92.61,3
SC_IPC_DACOITY_WITH_MURDER,float64,9128,92.61,1
SC_IPC_OTHER_DACOITY,float64,9128,92.61,3
SC_IPC_ROBBERY,float64,9128,92.61,4
SC_IPC_ARSON,float64,9128,92.61,4
SC_IPC_GRIEVOUS_HURT,float64,9128,92.61,8
SC_IPC_HURT,float64,9128,92.61,8
SC_IPC_ACID_ATTACK,float64,9128,92.61,1
SC_IPC_ATTEMPT_TO_ACID_ATTACK,float64,9128,92.61,1
SC_IPC_RIOTS,float64,9128,92.61,10
SC_IPC_OTHER_IPC_CRIMES,float64,9128,92.61,46
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,float64,9128,92.61,51
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,float64,9128,92.61,1
SC_OTHER_SLL_CRIME_AGAINST_SCS,float64,9128,92.61,12
SC_TOTAL_CRIMES_AGAINST_SCS,float64,9128,92.61,195
ST_MURDER,float64,968,9.82,23
ST_RAPE,float64,968,9.82,39
ST_KIDNAPPING_ABDUCTION,float64,968,9.82,14
ST_DACOITY,float64,968,9.82,13
ST_ROBBERY,float64,968,9.82,15
ST_ARSON,float64,968,9.82,11
ST_HURT,float64,968,9.82,51
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,float64,968,9.82,19
ST_PREVENTION_OF_ATROCITIES_POA_ACT,float64,968,9.82,72
ST_OTHER_CRIMES_AGAINST_STS,float64,968,9.82,99
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,float64,9128,92.61,2
ST_POA_MURDER,float64,9128,92.61,6
ST_POA_ATTEMPT_TO_COMMIT_MURDER,float64,9128,92.61,6
ST_POA_RAPE,float64,9128,92.61,21
ST_POA_ATTEMPT_TO_COMMIT_RAPE,float64,9128,92.61,4
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,92.61,24
ST_POA_SEXUAL_HARASSMENT,float64,9128,92.61,11
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,92.61,5
ST_POA_VOYEURISM,float64,9128,92.61,2
ST_POA_STALKING,float64,9128,92.61,4
ST_POA_OTHER_SEXUAL_HARASSMENT,float64,9128,92.61,16
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,92.61,3
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,float64,9128,92.61,9
ST_POA_KIDNAPING_ABDUCTION_TOTAL,float64,9128,92.61,6
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,92.61,1
ST_POA_KIDNAPPING_FOR_RANSOM,float64,9128,92.61,1
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,92.61,5
ST_POA_OTHER_KIDNAPPING,float64,9128,92.61,7
ST_POA_DACOITY,float64,9128,92.61,2
ST_POA_DACOITY_WITH_MURDER,float64,9128,92.61,1
ST_POA_OTHER_DACOITY,float64,9128,92.61,2
ST_POA_ROBBERY,float64,9128,92.61,3
ST_POA_ARSON,float64,9128,92.61,3
ST_POA_GRIEVOUS_HURT,float64,9128,92.61,15
ST_POA_HURT,float64,9128,92.61,15
ST_POA_ACID_ATTACK,float64,9128,92.61,2
ST_POA_ATTEMPT_TO_ACID_ATTACK,float64,9128,92.61,1
ST_POA_RIOTS,float64,9128,92.61,5
ST_POA_OTHER_IPC_CRIMES,float64,9128,92.61,48
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,float64,9128,92.61,28
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,float64,9128,92.61,68
ST_IPC_MURDER,float64,9128,92.61,7
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,float64,9128,92.61,6
ST_IPC_RAPE,float64,9128,92.61,10
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,float64,9128,92.61,4
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,92.61,14
ST_IPC_SEXUAL_HARASSMENT,float64,9128,92.61,7
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,92.61,6
ST_IPC_VOYEURISM,float64,9128,92.61,1
ST_IPC_STALKING,float64,9128,92.61,3
ST_IPC_OTHER_SEXUAL_HARASSMENT,float64,9128,92.61,12
