column,structural_group,dtype,missing_percentage,unique_values
ST_RAPE,ST,float64,9.82,39
ST_KIDNAPPING_ABDUCTION,ST,float64,9.82,14
ST_DACOITY,ST,float64,9.82,13
ST_ROBBERY,ST,float64,9.82,15
ST_ARSON,ST,float64,9.82,11
ST_HURT,ST,float64,9.82,51
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,ST,float64,9.82,19
ST_PREVENTION_OF_ATROCITIES_POA_ACT,ST,float64,9.82,72
ST_OTHER_CRIMES_AGAINST_STS,ST,float64,9.82,99
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,ST,float64,92.61,2
ST_POA_MURDER,ST,float64,92.61,6
ST_POA_ATTEMPT_TO_COMMIT_MURDER,ST,float64,92.61,6
ST_POA_RAPE,ST,float64,92.61,21
ST_POA_ATTEMPT_TO_COMMIT_RAPE,ST,float64,92.61,4
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,ST,float64,92.61,24
ST_POA_SEXUAL_HARASSMENT,ST,float64,92.61,11
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,ST,float64,92.61,5
ST_POA_VOYEURISM,ST,float64,92.61,2
ST_POA_STALKING,ST,float64,92.61,4
ST_POA_OTHER_SEXUAL_HARASSMENT,ST,float64,92.61,16
ST_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,ST,float64,92.61,3
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,ST,float64,92.61,9
ST_POA_KIDNAPING_ABDUCTION_TOTAL,ST,float64,92.61,6
ST_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,ST,float64,92.61,1
ST_POA_KIDNAPPING_FOR_RANSOM,ST,float64,92.61,1
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,ST,float64,92.61,5
ST_POA_OTHER_KIDNAPPING,ST,float64,92.61,7
ST_POA_DACOITY,ST,float64,92.61,2
ST_POA_DACOITY_WITH_MURDER,ST,float64,92.61,1
ST_POA_OTHER_DACOITY,ST,float64,92.61,2
ST_POA_ROBBERY,ST,float64,92.61,3
ST_POA_ARSON,ST,float64,92.61,3
ST_POA_GRIEVOUS_HURT,ST,float64,92.61,15
ST_POA_HURT,ST,float64,92.61,15
ST_POA_ACID_ATTACK,ST,float64,92.61,2
ST_POA_ATTEMPT_TO_ACID_ATTACK,ST,float64,92.61,1
ST_POA_RIOTS,ST,float64,92.61,5
ST_POA_OTHER_IPC_CRIMES,ST,float64,92.61,48
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,ST,float64,92.61,28
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,ST,float64,92.61,68
