dataset_a,dataset_b,family_a,family_b,shared_dimensions,shared_dimension_count
01_District_wise_crimes_committed_IPC_2013.csv,07_02_Persons_arrested_by_sex_and_age_group_SLL_2012.csv,DISTRICT_WISE_CRIME,ARREST_DISPOSAL,state,1
01_District_wise_crimes_committed_IPC_2013.csv,07_02_Persons_arrested_by_sex_and_age_group_SLL_2013.csv,DISTRICT_WISE_CRIME,ARREST_DISPOSAL,state,1
01_District_wise_crimes_committed_IPC_2013.csv,07_02_Persons_arrested_by_sex_and_age_group_SLL_2014.csv,DISTRICT_WISE_CRIME,ARREST_DISPOSAL,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,08_01_Juvenile_apprehended_state_IPC.csv,DISTRICT_WISE_CRIME,JUVENILE,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,08_02_Juvenile_apprehended_state_SLL.csv,DISTRICT_WISE_CRIME,JUVENILE,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,09_Juveniles_arrested_and_their_disposal.csv,DISTRICT_WISE_CRIME,JUVENILE,year,1
01_District_wise_crimes_committed_IPC_2013.csv,10_Property_stolen_and_recovered.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,year,1
01_District_wise_crimes_committed_IPC_2013.csv,11_Property_stolen_and_recovered_nature_of_property.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,year,1
01_District_wise_crimes_committed_IPC_2013.csv,12_Police_strength_actual_and_sanctioned.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,13_Police_killed_or_injured_on_duty.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,14_Age_profile_of_police_personnel_killed_on_duty.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,15_Police_natural_death_and_suicide.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,16_Casualties_under_police_firing_and_lathi_charge.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2001_2012.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,17_Case_reported_and_value_of_property_taken_away_by_place_of_occurrence_2013.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,17_Crime_by_place_of_occurrence_2001_2012.csv,DISTRICT_WISE_CRIME,CRIME_PLACE_OF_OCCURRENCE,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,17_Crime_by_place_of_occurrence_2013.csv,DISTRICT_WISE_CRIME,CRIME_PLACE_OF_OCCURRENCE,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,17_Crime_by_place_of_occurrence_2014.csv,DISTRICT_WISE_CRIME,CRIME_PLACE_OF_OCCURRENCE,"year, state",2
01_District_wise_crimes_committed_IPC_2013.csv,18_01_Juveniles_arrested_Education.csv,DISTRICT_WISE_CRIME,JUVENILE,year,1
01_District_wise_crimes_committed_IPC_2013.csv,18_02_Juveniles_arrested_Economic_setup.csv,DISTRICT_WISE_CRIME,JUVENILE,year,1
01_District_wise_crimes_committed_IPC_2013.csv,18_03_Juveniles_arrested_Family_background.csv,DISTRICT_WISE_CRIME,JUVENILE,year,1
01_District_wise_crimes_committed_IPC_2013.csv,18_04_Juveniles_arrested_Recidivism.csv,DISTRICT_WISE_CRIME,JUVENILE,year,1
01_District_wise_crimes_committed_IPC_2013.csv,19_Motive_or_cause_of_murder_and_culpable_homicide_not_amounting_to_murder.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,20_Victims_of_rape.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,21_Offenders_known_to_the_victim.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,22_Persons_arrested_under_recidivism.csv,DISTRICT_WISE_CRIME,ARREST_DISPOSAL,year,1
01_District_wise_crimes_committed_IPC_2013.csv,23_Anti_corruprion_cases.csv,DISTRICT_WISE_CRIME,ANTI_CORRUPTION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,24_Anti_corruption_arrests.csv,DISTRICT_WISE_CRIME,ANTI_CORRUPTION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,25_Complaints_against_police.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
